dali_product_id,brand_name,product_name,product_part_number,gtin,DALI Parts
12171,Shenzhen Lejia Electronics...,QD-1DS15-180L-060R13,QD-1DS15-180L-060R13,6979275330003,"101,102,207,209,251"
12134,Philips,LHP1140W 220-400V E3 DALI CM,9290048284,8721103094599,"101,102,150,207,250,251,252,253"
12156,EPOWERTECH,EPE-ED Emergency Driver,EPE-ED-DA,6973111310839,"101,102,202"
12135,CUPOWER,RD ECSCI 40/230/100-1050 DT8 AUX NFC,A9900212,06978852110359,"101,102,207,209,251,252,253"
12157,Barel,HFXE LED BG2 DALI 12-1500 550mA 220-254VAC,831431150,7073187000449,"101,102,202,207,251,252,253"
12052,Signify,LLC7821/00 CT NODE NEMA5 ACLV P US4VF BK,9137010755,046677609726,"101,103,351"
12053,Signify,LLC7822/00 CT NODE NEMA5 ACLV P US4VF LG,9137010756,046677609733,"101,103,351"
12069,Signify,LLC7824/00 CT NODE NEMA5 ACLV A US4VF LG,9137010757,046677609740,"101,103,351"
12125,Inventronics,OTi DALI 75/220-240/550 N NFC L HE,AM52523,6937186150226,"101,102,207,251,252,253"
12126,Inventronics,OTI DALI 150/220-240/1A0 N NFC L HE,AM52583,6937186150240,"101,102,207,251,252,253"
12133,BOKE,BK-DAMS-L01AN,6971571384421,6971571384421,"101,102,206"
11951,Synapse,EMB24,EMB24,00860005869398,"101,103,351"
12086,Inventronics,IT D0 150/220-240/24/2C C TW,AM52030,6937186142337,"101,102,207,209"
12087,Inventronics,IT D0 150/220-240/24/2C C TW,AM52030,6937186142337,"101,102,207"
12089,Inventronics,IT D0 200/220-240/24/2C C TW,AM52025,6937186142351,"101,102,207,209"
12091,Inventronics,IT D0 200/220-240/24/2C C TW,AM52025,6937186142351,"101,102,207"
12092,Inventronics,IT D0 150/220-240/24 C,AM51154,6937186142252,"101,102,207"
12094,Inventronics,IT D0 75/220-240/24 C,AM51153,6937186142238,"101,102,207"
12095,Inventronics,IT D0 36/220-240/24 C,AM51152,6937186142214,"101,102,207"
12096,Inventronics,IT D0P 150/100-277/24 2CH P67 G,AM52549,6937186176783,"101,102,207,209"
12098,Inventronics,IT D0P 150/100-277/24 2CH P67 G,AM52549,6937186176783,"101,102,207"
12102,Inventronics,IT D0 75/220-240/24/2C C TW,AM52024,6937186142313,"101,102,207,209"
12103,Inventronics,IT D0 75/220-240/24/2C C TW,AM52024,6937186142313,"101,102,207"
12105,Inventronics,IT D0 36/220-240/24/2C C TW,AM52023,6937186142290,"101,102,207"
12106,Inventronics,IT D0 36/220-240/24/2C C TW,AM52023,6937186142290,"101,102,207,209"
9381,LiFud,LF-GSD060YF-4P,0789091051435,0789091051435,"101,102,207,251,252,253"
9886,LiFud,LF-GSD020YF-4P,0789091051411,0789091051411,"101,102,207,251,252,253"
9888,LiFud,LF-GSD040YF-4P,0789091051428,0789091051428,"101,102,207,251,252,253"
9889,LiFud,LF-GSD080YF-4P,0789091051442,0789091051442,"101,102,207,251,252,253"
12112,LTECH,KPD,KPD,6971379119614,"101,103,301"
